 cookie=0x0, duration=14.892s, table=0, n_packets=0, n_bytes=0, idle_age=14, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=4662,tp_dst=33391 actions=output:1
 cookie=0x0, duration=14.892s, table=0, n_packets=0, n_bytes=0, idle_age=14, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=545,tp_dst=33391 actions=output:1
 cookie=0x0, duration=14.892s, table=0, n_packets=0, n_bytes=0, idle_age=14, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=4900,tp_dst=33391 actions=output:1
 cookie=0x0, duration=14.892s, table=0, n_packets=0, n_bytes=0, idle_age=14, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=783,tp_dst=33391 actions=output:1
 cookie=0x0, duration=14.893s, table=0, n_packets=0, n_bytes=0, idle_age=14, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=10000,tp_dst=33391 actions=output:1
 cookie=0x0, duration=14.893s, table=0, n_packets=0, n_bytes=0, idle_age=14, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=2909,tp_dst=33391 actions=output:1
 cookie=0x0, duration=14.893s, table=0, n_packets=0, n_bytes=0, idle_age=14, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=1271,tp_dst=33391 actions=output:1
 cookie=0x0, duration=15.004s, table=0, n_packets=0, n_bytes=0, idle_age=15, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=2500,tp_dst=33391 actions=output:1
 cookie=0x0, duration=15.004s, table=0, n_packets=0, n_bytes=0, idle_age=15, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=9200,tp_dst=33391 actions=output:1
 cookie=0x0, duration=15.004s, table=0, n_packets=0, n_bytes=0, idle_age=15, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=6,tp_dst=33391 actions=output:1
 cookie=0x0, duration=15.004s, table=0, n_packets=0, n_bytes=0, idle_age=15, priority=1,tcp,in_port=2,dl_src=be:f8:9b:4a:79:92,dl_dst=ae:c9:82:02:9d:f2,nw_src=10.0.0.5,nw_dst=10.0.0.1,tp_src=27000,tp_dst=33391 actions=output:1
